attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,2,"[1,1]","[213,189]",16,1,128,9.100866666666665,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,27574272,379.2676056338028,540672,1056.0,1071408,471.57042253521126,21008,1313.0,1020.0,2803.09367108353,428.9254522416493,20.0,7804.692182232573,160.0,1194.2630238885138,0.016736461818668,0.03417119,1.0417206
fa2_paged,2,"[1,1]","[160,129]",8,2,64,9.5704,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,40009728,550.3098591549295,540672,1056.0,1554592,684.2394366197183,21008,1313.0,1332.0,3660.51055870908,560.1261788096833,18.0,7024.2229640093165,144.0,1074.8367214996624,0.0230928671282526,0.0470396,1.0369748
fa2_paged,2,"[1,1]","[288,97]",2,1,128,9.0454,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,26492928,364.3943661971831,540672,1056.0,1029392,453.0774647887324,21008,1313.0,980.0,2693.168429080254,412.10484627138857,20.0,7804.692182232573,160.0,1194.2630238885138,0.0161787338265518,0.032951545,1.036719
fa2_paged,2,"[1,1]","[303,273]",7,1,128,9.205333333333336,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,39469056,542.8732394366198,540672,1056.0,1533584,674.9929577464789,21008,1313.0,1460.0,4012.271333119562,613.9521179145177,20.0,7804.692182232573,160.0,1194.2630238885138,0.0236842462304295,0.04822459,1.0361459
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[82,79,375,177,20097,1641,117,3105,249,12033,345,1305,993,8097,2337,4449]",64,4,128,156.73020000000002,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2004811776,27574.98591549296,16220160,31680.0,21744064,9570.450704225352,171040,10690.0,60464.0,166162.99581215152,25426.027984646164,488.0,190434.4892464748,3904.0,29140.01778287974,0.070658313026631,0.14299159,1.023705
fa2_paged,1,[1],[279],6,2,128,9.1088,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,37847040,520.5633802816901,540672,1056.0,1470560,647.2535211267606,21008,1313.0,1400.0,3847.383470114649,588.7212089591266,20.0,7804.692182232573,160.0,1194.2630238885138,0.0229516070730176,0.046226475,1.0140841
fa2_paged,4,"[1,1,1,1]","[288,201,81,384]",4,1,128,9.365733333333337,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,65421312,899.830985915493,540672,1056.0,2541968,1118.8239436619715,21008,1313.0,2420.0,6650.477141198178,1017.6466612007758,20.0,7804.692182232573,160.0,1194.2630238885138,0.0385851158823823,0.07770749,1.0139238
fa2_paged,2,"[1,1]","[78,231]",14,2,128,9.096666666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,42172416,580.056338028169,540672,1056.0,1638624,721.2253521126761,21008,1313.0,1560.0,4287.084438127751,656.0036328401695,20.0,7804.692182232573,160.0,1194.2630238885138,0.0256087599071185,0.051535875,1.0124311
fa2_ragged,8,"[6,7,12,22,58,267,1137,1377]","[31,7,32,53,6945,363,1809,3105]",4,1,64,121.33880000000002,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,6087966720,41868.16901408451,64880640,63360.0,16901376,7438.985915492958,171264,10704.0,26328.0,65517.06790924072,9942.520580599286,272.0,96115.5891418457,2176.0,14585.988867557991,0.1377452218563414,0.27694106,1.0105312
fa3_paged,1,[90],[96],8,1,128,43.854400000000005,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,50331648,93.0909090909091,6291456,1536.0,106496,50.42424242424242,13312,832.0,448.0,233.229629499123,88.64629836309524,56.0,3848.2888867355286,448.0,1462.6639229910716,0.0011599599864552,0.0023299751,1.00866
fa2_ragged,1,[40],[219],8,2,64,31.010466666666662,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,34603008,402.2857142857143,4325376,4224.0,205824,153.14285714285714,25728,1608.0,256.0,610.267387687905,174.81674382716048,32.0,6407.807570723005,256.0,1835.5758101851848,0.0074555049060134,0.014973477,1.0083774
